UH,Iteracion,R,R2,RMSE,MAE,Bias_%,NSE
Matoc,1,0.8509587106265254,0.7241307271911586,34.04946951531098,23.854139285175016,-11.082182208599093,0.6861750125949191
Matoc,2,0.888250050719443,0.788988152603093,31.597336088823585,24.351217861723313,-17.16805294133263,0.7259171426342874
Matoc,3,0.9448511721275638,0.8927437374708311,28.257366254847426,21.91293006486726,30.412803773129543,0.8438437423382134
Matoc,4,0.8523281092873233,0.7264632058813033,27.47277026537448,21.194825452132584,52.51945608300817,0.6101654814401398
Matoc,5,0.86856255159058,0.754400906025539,52.18880705996663,33.906361286379166,-19.572140408271927,0.5186933593233253
Matoc,6,0.9206315766590232,0.8475624999416789,48.17490118631845,29.01515869575694,-19.84120878320233,0.6826446285568316
Matoc,7,0.9469535639689928,0.8967210523135772,30.418957840193066,22.733280965572114,-14.290172586243466,0.8155418173697783
Matoc,8,0.9301074299932884,0.8650998313287199,20.645532473730423,13.604637323866816,-4.440480130164786,0.8554246395056014
Matoc,9,0.9041354868650748,0.8174609786087459,30.037663606711394,22.75217759942894,-0.6809888889366433,0.8157245517929642
Matoc,10,0.9335149666077454,0.87145019288066,26.617628938168533,19.261390863747174,-1.1555414524586958,0.8611329138129589
Matoc,11,0.9772075283682211,0.9549345534995277,17.101661331889243,14.732880256501028,8.87944451547734,0.9437572062046866
Matoc,12,0.9372361909680602,0.8784116776603182,31.004405914515775,24.437877409464456,-3.751007866952974,0.8697417399606657
Matoc,13,0.9077402446378239,0.8239923517351363,30.06718884218523,22.31414561174115,-7.162351097086807,0.7857192458698244
Matoc,14,0.9161697140431824,0.8393669449299666,50.3201874491688,31.505140544095077,-18.946157117753707,0.7627742088105238
Matoc,15,0.9490760139283518,0.9007452802141291,26.213689666689515,19.663644123070004,14.679905022523181,0.868376276372864
Matoc,16,0.6479771372194888,0.4198743703591642,30.423978820572845,22.418819871901572,10.626626214062131,0.40113295888462164
Matoc,17,0.8366923324984807,0.7000540592617482,35.667492871449944,26.10495528492615,-7.049112465220418,0.6765833353377686
Matoc,18,0.8381951044403392,0.7025710331077512,52.2458440596983,37.16056754575177,-0.15878021559933295,0.6868159129385081
Matoc,19,0.9316420755955894,0.8679569570200579,19.90809998647726,15.6185120716505,2.7620844649199365,0.839332735163118
Matoc,20,0.8949080768100913,0.8008604659399363,27.80795683640448,19.80820898908005,-7.134190351850283,0.7527879583952697
Matoc,21,0.978816697237592,0.9580821267911078,18.15666807036521,14.563260063240824,-0.3779339801216241,0.8747418763514294
Matoc,22,0.9637867992083029,0.9288849943281856,52.65783324351491,37.57125105002553,-19.66297400621789,0.6903559665144322
Matoc,23,0.8720726168154136,0.7605106489992832,36.13801739925485,25.52595724972597,-18.013358917353166,0.6872080668566716
Matoc,24,0.9170928041879205,0.8410592114932635,45.56441887737493,27.905995161583938,-5.8953300536408895,0.8034919844206609
Matoc,25,0.9291515845622643,0.8633226670945666,28.955413575850816,20.98842506909434,-8.54099092086051,0.8346412289227007
Matoc,26,0.8865521690985546,0.7859747485333521,55.68698017032644,38.78576049330091,-24.196197889864433,0.6830139251925524
Matoc,27,0.9327576966852833,0.870036920725635,49.99961715268715,29.818616524167346,-19.948366543356418,0.7664980250273036
Matoc,28,0.8360087010663387,0.6989105482586269,35.708854472640574,29.63546875672423,7.038680845004741,0.6877136525359103
Matoc,29,0.958935126335915,0.9195565765208773,51.15726743484578,33.40812847254408,-21.25673775893408,0.6831937113273788
Matoc,30,0.952067821471277,0.9064331366810634,25.722598787554208,14.66477481440496,-9.425582827838543,0.8786471416626255
Pocco,1,0.9595196790251125,0.9206780144364549,25.466872816865678,20.639536146333434,0.4721066838155149,0.9127505458762318
Pocco,2,0.8767950431747533,0.7687695477358175,51.7844419503221,42.3455638708982,11.337074294366191,0.7207467182558294
Pocco,3,0.801622488433461,0.6425986139622543,36.77284315631518,25.85428166568128,0.8457647452709814,0.6302502411154287
Pocco,4,0.8145637353790968,0.6635140789947471,30.73542269161576,26.1420448103221,-8.97275491006636,0.6311838818504988
Pocco,5,0.9501301023778319,0.9027472114445093,28.988515015078068,23.075971889206574,-7.161287146914372,0.8350655038046046
Pocco,6,0.9594035521265769,0.9204551758330933,20.335291312964785,15.575150983313229,5.978068934817122,0.915459682068353
Pocco,7,0.8235919382079051,0.6783036806810537,37.396712434975136,26.781372747849375,-3.732360548989054,0.6765415051272747
Pocco,8,0.8753222598057505,0.7661890585114458,65.95129115204145,37.18918847724395,-26.971064727384746,0.5854753615085821
Pocco,9,0.9416458415191893,0.8866968908503822,28.047650497790183,21.597208865375904,4.335911123805152,0.8846377223775075
Pocco,10,0.8944389689083262,0.8000210691017897,38.7445998219581,32.37845358279474,-1.5623193777507736,0.7992887048151992
Pocco,11,0.858280721503741,0.7366457969049822,38.534488900786705,30.08040675018594,26.195104932295028,0.666186784753418
Pocco,12,0.9368693081932606,0.8777241006345188,64.56387497359741,37.49432069799169,-26.268620482452178,0.6631657971430938
Pocco,13,0.9143995826907553,0.8361265968250274,27.77752772452295,18.91457737646017,9.145261554451832,0.8095380164189324
Pocco,14,0.856254037271402,0.7331709763435755,59.42482158472276,45.1262437710991,-27.5869609196418,0.45487901192246594
Pocco,15,0.8389381900428924,0.7038172867124443,37.709863349883484,25.876870051040356,-5.130281298008894,0.6961925273551177
Pocco,16,0.8941333590850168,0.7994744638286556,64.53294460269014,37.75110091475049,-18.042000005220547,0.7141072634946579
Pocco,17,0.9145220401230971,0.8363505618709116,21.76583622189111,19.286460240894584,5.04506206812038,0.8308291768846896
Pocco,18,0.930078410011297,0.8650458487691423,25.949731743179612,19.185756661881037,-11.011840811114205,0.8104097324283593
Pocco,19,0.8432021257316978,0.710989824838454,40.9638606043159,30.276030472773527,19.295798979958516,0.5875838032809746
Pocco,20,0.9770736939119635,0.9546730033347693,34.39478367204557,26.650820171453294,-20.869307511473327,0.7886888839498178
Pocco,21,0.8523785815761453,0.7265492463297615,33.26349803858446,21.97708015776271,9.019848865611344,0.7165849237830718
Pocco,22,0.9614259811894167,0.9243399173060326,26.884013907468752,21.024172218893735,9.92818319127678,0.9069143599767082
Pocco,23,0.9019550782531935,0.8135229631867245,32.397449871080795,25.343161166469883,3.540975330212101,0.7662344885794429
Pocco,24,0.96200622909725,0.9254559848219106,29.249801972225416,22.831984806272974,5.744579258785878,0.9106178347008148
Pocco,25,0.9018424272467509,0.8133197635823112,60.892228140640505,31.166454133975503,-15.329096903104725,0.708254178689039
Pocco,26,0.9586858303092125,0.9190785212356642,63.11955542705222,33.44752564138226,-24.72666542969529,0.6464340983160108
Pocco,27,0.9069614393408602,0.8225790524512447,42.85703153540595,24.24831405736302,-14.231867776461579,0.8024154995985575
Pocco,28,0.8720180059009596,0.760415402615486,63.00167948307384,36.12401541561557,-16.941081053563035,0.6375788309710315
Pocco,29,0.8924517878753475,0.7964701936819043,41.814875245888224,33.24212520839744,-15.873589050116218,0.7469875588925778
Pocco,30,0.907357071824136,0.8232968557892704,35.193434416124326,26.262588810513083,3.5912506669393536,0.8173295836111159
