system:index,CHIRPS_ANA1,date,.geo,fecha_mensual,mes,Factor_correccion,CHIRPS_ANA1_CORR
0,102.31358861923218,2012-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-01-01,1,1.4594143508430073,149.31791951715522
1,144.2044961452484,2012-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-02-01,2,1.1729096681517877,169.13884771971905
2,152.54501938819885,2012-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-03-01,3,1.0176523505820951,155.23779754999183
3,106.3282504081726,2012-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-04-01,4,1.4159446733735415,150.55491979458006
4,38.73203992843628,2012-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-05-01,5,1.5219398888725382,58.947836544491025
5,6.791870594024658,2012-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-06-01,6,1.7515368991023574,11.896211959362436
6,6.338313341140747,2012-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-07-01,7,1.7446835045501838,11.058350732958624
7,10.267395496368408,2012-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-08-01,8,1.1623543434326868,11.934351750945027
8,62.958473205566406,2012-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-09-01,9,0.9070016507451076,57.10343912584036
9,71.67107915878296,2012-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-10-01,10,1.3044451451374333,93.4909912554351
10,77.51647710800171,2012-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-11-01,11,1.4967678322639064,116.02416940567845
11,100.76116108894348,2012-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-12-01,12,1.6946525708826246,170.75516068449633
12,78.08735227584839,2013-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-01-01,1,1.4594143508430073,113.9618025307065
13,134.3579797744751,2013-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-02-01,2,1.1729096681517877,157.58977347082418
14,193.5453948974609,2013-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-03-01,3,1.0176523505820951,196.96192606174094
15,98.47067070007324,2013-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-04-01,4,1.4159446733735415,139.42902166128877
16,46.78831386566162,2013-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-05-01,5,1.5219398888725382,71.20900120523848
17,9.338284969329834,2013-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-06-01,6,1.7515368991023574,16.35635069811413
18,6.814804315567017,2013-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-07-01,7,1.7446835045501838,11.889676676107179
19,10.799309730529783,2013-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-08-01,8,1.1623543434326868,12.552624571356173
20,45.31774520874024,2013-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-09-01,9,0.9070016507451076,41.10326971237359
21,70.99510288238525,2013-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-10-01,10,1.3044451451374333,92.60921728346004
22,74.52112567424774,2013-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-11-01,11,1.4967678322639064,111.54082373330994
23,79.25233173370361,2013-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-12-01,12,1.6946525708826246,134.30516772096342
24,91.1442461013794,2014-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-01-01,1,1.4594143508430073,133.0172207571199
25,135.38032126426697,2014-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-02-01,2,1.1729096681517877,158.78888768835378
26,230.9419708251953,2014-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-03-01,3,1.0176523505820951,235.01863945832164
27,71.04529285430908,2014-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-04-01,4,1.4159446733735415,100.59620398532228
28,43.97571611404419,2014-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-05-01,5,1.5219398888725382,66.9283964956987
29,6.66027569770813,2014-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-06-01,6,1.7515368991023574,11.665718642730488
30,6.828134298324585,2014-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-07-01,7,1.7446835045501838,11.912933277140247
31,10.725505352020264,2014-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-08-01,8,1.1623543434326868,12.466837731431282
32,44.14048767089844,2014-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-09-01,9,0.9070016507451076,40.03549518219896
33,62.448641777038574,2014-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-10-01,10,1.3044451451374333,81.46082758648465
34,69.41915941238403,2014-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-11-01,11,1.4967678322639064,103.90436475125661
35,81.54553937911987,2014-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-12-01,12,1.6946525708826246,138.1913579528358
36,91.0356559753418,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-01-01,1,1.4594143508430073,132.85874276882078
37,144.4234848022461,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-02-01,2,1.1729096681517877,169.39570163272722
38,155.3570613861084,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-03-01,3,1.0176523505820951,158.09947869910005
39,65.95538759231567,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-04-01,4,1.4159446733735415,93.38917974162675
40,70.47928667068481,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-05-01,5,1.5219398888725382,107.2652377233978
41,6.660274982452393,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-06-01,6,1.7515368991023574,11.665717389933672
42,6.828134536743164,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-07-01,7,1.7446835045501838,11.91293369310521
43,11.400510311126707,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-08-01,8,1.1623543434326868,13.25143267748726
44,50.5049147605896,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-09-01,9,0.9070016507451076,45.80804105859572
45,53.33484745025635,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-10-01,10,1.3044451451374333,69.5723828231325
46,59.71680521965027,2015-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-11-01,11,1.4967678322639064,89.38219309834186
47,73.40605688095093,2015-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-12-01,12,1.6946525708826246,124.39776301165966
48,62.27000999450684,2016-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-01-01,1,1.4594143508430073,90.87774621312079
49,116.96086931228638,2016-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-02-01,2,1.1729096681517877,137.18453441181842
50,175.00888967514038,2016-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-03-01,3,1.0176523505820951,178.09820795066918
51,63.344916343688965,2016-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-04-01,4,1.4159446733735415,89.69289688213898
52,40.3048529624939,2016-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-05-01,5,1.5219398888725382,61.34156343876195
53,8.129446983337402,2016-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-06-01,6,1.7515368991023574,14.239026360611808
54,6.828134775161743,2016-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-07-01,7,1.7446835045501838,11.912934109070171
55,12.06499195098877,2016-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-08-01,8,1.1623543434326868,14.023795797712202
56,49.765501976013184,2016-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-09-01,9,0.9070016507451076,45.13739244240287
57,54.92601680755615,2016-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-10-01,10,1.3044451451374333,71.64797596635368
58,39.33491277694702,2016-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-11-01,11,1.4967678322639064,58.87523212944083
59,96.5645956993103,2016-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-12-01,12,1.6946525708826246,163.64344035807744
60,103.20814275741576,2017-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-01-01,1,1.4594143508430073,150.62344466402635
61,179.05226230621338,2017-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-02-01,2,1.1729096681517877,210.01212956340757
62,270.93166494369507,2017-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-03-01,3,1.0176523505820951,275.7142456770719
63,72.07888603210449,2017-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-01,4,1.4159446733735415,102.05971473985691
64,45.394927978515625,2017-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-05-01,5,1.5219398888725382,69.08835164299894
65,7.029842376708984,2017-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-06-01,6,1.7515368991023574,12.313028317679201
66,6.78647255897522,2017-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-07-01,7,1.7446835045501838,11.84024672772654
67,10.725505352020264,2017-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-08-01,8,1.1623543434326868,12.466837731431282
68,42.152421951293945,2017-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-09-01,9,0.9070016507451076,38.23231629272792
69,69.12701606750488,2017-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-10-01,10,1.3044451451374333,90.17240050709408
70,74.36266613006592,2017-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-11-01,11,1.4967678322639064,111.30364658486337
71,131.0586793422699,2017-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-12-01,12,1.6946525708826246,222.0989278838592
72,176.29369640350342,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-01,1,1.4594143508430073,257.28555049443315
73,160.99530410766602,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-02-01,2,1.1729096681517877,188.83294871491867
74,196.61482620239255,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-03-01,3,1.0176523505820951,200.0855400441549
75,97.57314825057983,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-04-01,4,1.4159446733735415,138.1581795296954
76,47.0350341796875,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-05-01,5,1.5219398888725382,71.58449469254963
77,6.660274982452393,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-06-01,6,1.7515368991023574,11.665717389933672
78,6.828134536743164,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-07-01,7,1.7446835045501838,11.91293369310521
79,10.869882464408876,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-08-01,8,1.1623543434326868,12.634655095108455
80,44.840561866760254,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-09-01,9,0.9070016507451076,40.670463633489675
81,86.73027467727661,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-10-01,10,1.3044451451374333,113.13488573920954
82,76.89816904067993,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-11-01,11,1.4967678322639064,115.09870578008194
83,190.53895664215088,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-12-01,12,1.6946525708826246,322.89733272691393
84,109.64198422431946,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-01,1,1.4594143508430073,160.01308523187444
85,146.81000113487244,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-02-01,2,1.1729096681517877,172.1948697124668
86,177.70503520965576,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-03-01,3,1.0176523505820951,180.84194679138017
87,80.79829132556915,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-04-01,4,1.4159446733735415,114.40591022012326
88,38.88350296020508,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-05-01,5,1.5219398888725382,59.178354174229526
89,6.811181783676148,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-06-01,6,1.7515368991023574,11.930036220602585
90,6.828134775161743,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-07-01,7,1.7446835045501838,11.912934109070171
91,8.508037567138672,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-08-01,8,1.1623543434326868,9.889354420252106
92,62.94162321090698,2019-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-09-01,9,0.9070016507451076,57.08815615286922
93,56.088287353515625,2019-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-10-01,10,1.3044451451374333,73.16409413736675
94,67.89346369728446,2019-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-11-01,11,1.4967678322639064,101.62075248307269
95,115.8045253753662,2019-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-12-01,12,1.6946525708826246,196.24843664720646
96,91.07867455482484,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-01,1,1.4594143508430073,132.92152470107123
97,107.00692510604858,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-02-01,2,1.1729096681517877,125.50945701607864
98,159.44650030136108,2020-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-03-01,3,1.0176523505820951,162.26110582376884
99,72.7170205116272,2020-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-04-01,4,1.4159446733735415,102.96327785703309
100,46.37057399749756,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-05-01,5,1.5219398888725382,70.57322623670724
101,6.660275146365166,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-06-01,6,1.7515368991023574,11.665717677032942
102,6.828134298324585,2020-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-07-01,7,1.7446835045501838,11.912933277140247
103,11.39795970916748,2020-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-08-01,8,1.1623543434326868,13.248467974221585
104,43.96367400884628,2020-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-09-01,9,0.9070016507451076,39.87512489884336
105,112.55631613731384,2020-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-10-01,10,1.3044451451374333,146.8235401398732
106,57.14114022254944,2020-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-11-01,11,1.4967678322639064,85.52702058399323
107,121.12203311920166,2020-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-12-01,12,1.6946525708826246,205.25976481598548
108,103.51177787780762,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-01,1,1.4594143508430073,151.06657411614617
109,111.30339121818542,2021-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-01,2,1.1729096681517877,130.54882365789047
110,226.1011333465576,2021-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-01,3,1.0176523505820951,230.09234981940006
111,90.5133981704712,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-04-01,4,1.4159446733735415,128.16196400841716
112,45.08828163146973,2021-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-05-01,5,1.5219398888725382,68.62165433565274
113,7.724857330322266,2021-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-06-01,6,1.7515368991023574,13.530372654360777
114,6.828135013580322,2021-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-07-01,7,1.7446835045501838,11.912934525035134
115,11.40126085281372,2021-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-08-01,8,1.1623543434326868,13.252305072877087
116,44.20791149139404,2021-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-09-01,9,0.9070016507451076,40.09664869868801
117,69.3420615196228,2021-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-10-01,10,1.3044451451374333,90.4529155030932
118,118.85391855239868,2021-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-11-01,11,1.4967678322639064,177.89672202774466
119,95.37026858329772,2021-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-12-01,12,1.6946525708826246,161.61947084045187
120,159.6969542503357,2022-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-01,1,1.4594143508430073,233.0640268188591
121,170.43308353424072,2022-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-02-01,2,1.1729096681517877,199.9026114502322
122,170.27058935165405,2022-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-03-01,3,1.0176523505820951,173.2762654887094
123,96.5177059173584,2022-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-04-01,4,1.4159446733735415,136.66373157991757
124,48.0304012298584,2022-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-05-01,5,1.5219398888725382,73.09938351027411
125,9.961024913936852,2022-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-06-01,6,1.7515368991023574,17.44710268963828
126,7.291402220726013,2022-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-07-01,7,1.7446835045501838,12.721189179541254
127,10.725504875183104,2022-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-08-01,8,1.1623543434326868,12.466837177177538
128,69.36277651786804,2022-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-09-01,9,0.9070016507451076,62.9121528019703
129,56.18101692199707,2022-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-10-01,10,1.3044451451374333,73.28505477278306
130,49.28568410873413,2022-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-11-01,11,1.4967678322639064,73.76922656507365
131,89.01520383358002,2022-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-12-01,12,1.6946525708826246,150.84984402421722
