UH,Estacion,anio,mes,Prec_mensual,Dias_totales,Dias_validos,Porcentaje_validos,fecha_mensual
ANA,ANA 1,2012,1,,31.0,7.0,22.58,2012-01-01
ANA,ANA 1,2012,2,263.0000039190052,29.0,29.0,100.0,2012-02-01
ANA,ANA 1,2012,3,164.20000244677055,31.0,31.0,100.0,2012-03-01
ANA,ANA 1,2012,4,,30.0,19.0,63.33,2012-04-01
ANA,ANA 1,2012,5,,31.0,0.0,0.0,2012-05-01
ANA,ANA 1,2012,6,,30.0,0.0,0.0,2012-06-01
ANA,ANA 1,2012,7,,31.0,0.0,0.0,2012-07-01
ANA,ANA 1,2012,8,,31.0,0.0,0.0,2012-08-01
ANA,ANA 1,2012,9,,30.0,0.0,0.0,2012-09-01
ANA,ANA 1,2012,10,,31.0,0.0,0.0,2012-10-01
ANA,ANA 1,2012,11,,30.0,0.0,0.0,2012-11-01
ANA,ANA 1,2012,12,,31.0,0.0,0.0,2012-12-01
ANA,ANA 1,2013,1,,31.0,0.0,0.0,2013-01-01
ANA,ANA 1,2013,2,,28.0,0.0,0.0,2013-02-01
ANA,ANA 1,2013,3,,31.0,0.0,0.0,2013-03-01
ANA,ANA 1,2013,4,144.8,30.0,29.0,96.67,2013-04-01
ANA,ANA 1,2013,5,75.80000000000001,31.0,31.0,100.0,2013-05-01
ANA,ANA 1,2013,6,22.4,30.0,30.0,100.0,2013-06-01
ANA,ANA 1,2013,7,15.0,31.0,31.0,100.0,2013-07-01
ANA,ANA 1,2013,8,25.299999999999997,31.0,31.0,100.0,2013-08-01
ANA,ANA 1,2013,9,36.5,30.0,30.0,100.0,2013-09-01
ANA,ANA 1,2013,10,79.0,31.0,31.0,100.0,2013-10-01
ANA,ANA 1,2013,11,72.20000000000002,30.0,30.0,100.0,2013-11-01
ANA,ANA 1,2013,12,120.0,31.0,31.0,100.0,2013-12-01
ANA,ANA 1,2014,1,93.7,31.0,31.0,100.0,2014-01-01
ANA,ANA 1,2014,2,113.39999999999998,28.0,28.0,100.0,2014-02-01
ANA,ANA 1,2014,3,146.1,31.0,31.0,100.0,2014-03-01
ANA,ANA 1,2014,4,54.8,30.0,30.0,100.0,2014-04-01
ANA,ANA 1,2014,5,42.3,31.0,31.0,100.0,2014-05-01
ANA,ANA 1,2014,6,8.6,30.0,30.0,100.0,2014-06-01
ANA,ANA 1,2014,7,11.399999999999999,31.0,31.0,100.0,2014-07-01
ANA,ANA 1,2014,8,6.4,31.0,31.0,100.0,2014-08-01
ANA,ANA 1,2014,9,50.8,30.0,30.0,100.0,2014-09-01
ANA,ANA 1,2014,10,60.10000000000001,31.0,31.0,100.0,2014-10-01
ANA,ANA 1,2014,11,82.4,30.0,30.0,100.0,2014-11-01
ANA,ANA 1,2014,12,131.2,31.0,31.0,100.0,2014-12-01
ANA,ANA 1,2015,1,105.19999999999999,31.0,31.0,100.0,2015-01-01
ANA,ANA 1,2015,2,85.20000000000002,28.0,28.0,100.0,2015-02-01
ANA,ANA 1,2015,3,174.4,31.0,31.0,100.0,2015-03-01
ANA,ANA 1,2015,4,117.19999999999999,30.0,30.0,100.0,2015-04-01
ANA,ANA 1,2015,5,104.00000000000001,31.0,31.0,100.0,2015-05-01
ANA,ANA 1,2015,6,8.8,30.0,30.0,100.0,2015-06-01
ANA,ANA 1,2015,7,9.799999999999999,31.0,31.0,100.0,2015-07-01
ANA,ANA 1,2015,8,13.799999999999999,31.0,31.0,100.0,2015-08-01
ANA,ANA 1,2015,9,38.2,30.0,30.0,100.0,2015-09-01
ANA,ANA 1,2015,10,89.0,31.0,31.0,100.0,2015-10-01
ANA,ANA 1,2015,11,170.4,30.0,30.0,100.0,2015-11-01
ANA,ANA 1,2015,12,,31.0,0.0,0.0,2015-12-01
ANA,ANA 1,2016,1,,31.0,0.0,0.0,2016-01-01
ANA,ANA 1,2016,2,,29.0,0.0,0.0,2016-02-01
ANA,ANA 1,2016,3,120.4,31.0,25.0,80.65,2016-03-01
ANA,ANA 1,2016,4,118.6,30.0,30.0,100.0,2016-04-01
ANA,ANA 1,2016,5,24.2,31.0,31.0,100.0,2016-05-01
ANA,ANA 1,2016,6,12.0,30.0,30.0,100.0,2016-06-01
ANA,ANA 1,2016,7,4.6,31.0,31.0,100.0,2016-07-01
ANA,ANA 1,2016,8,18.2,31.0,31.0,100.0,2016-08-01
ANA,ANA 1,2016,9,26.6,30.0,30.0,100.0,2016-09-01
ANA,ANA 1,2016,10,95.60000000000001,31.0,31.0,100.0,2016-10-01
ANA,ANA 1,2016,11,28.800000000000004,30.0,30.0,100.0,2016-11-01
ANA,ANA 1,2016,12,204.79999999999998,31.0,31.0,100.0,2016-12-01
ANA,ANA 1,2017,1,231.79999999999998,31.0,31.0,100.0,2017-01-01
ANA,ANA 1,2017,2,216.2,28.0,28.0,100.0,2017-02-01
ANA,ANA 1,2017,3,278.20000000000005,31.0,31.0,100.0,2017-03-01
ANA,ANA 1,2017,4,137.8,30.0,30.0,100.0,2017-04-01
ANA,ANA 1,2017,5,109.4,31.0,31.0,100.0,2017-05-01
ANA,ANA 1,2017,6,11.0,30.0,30.0,100.0,2017-06-01
ANA,ANA 1,2017,7,2.2,31.0,31.0,100.0,2017-07-01
ANA,ANA 1,2017,8,10.8,31.0,31.0,100.0,2017-08-01
ANA,ANA 1,2017,9,62.0,30.0,30.0,100.0,2017-09-01
ANA,ANA 1,2017,10,94.80000000000001,31.0,31.0,100.0,2017-10-01
ANA,ANA 1,2017,11,61.40000000000001,30.0,30.0,100.0,2017-11-01
ANA,ANA 1,2017,12,174.0,31.0,31.0,100.0,2017-12-01
ANA,ANA 1,2018,1,180.70416608000002,31.0,31.0,100.0,2018-01-01
ANA,ANA 1,2018,2,110.20818655999997,28.0,28.0,100.0,2018-02-01
ANA,ANA 1,2018,3,279.4,31.0,31.0,100.0,2018-03-01
ANA,ANA 1,2018,4,139.39999999999998,30.0,30.0,100.0,2018-04-01
ANA,ANA 1,2018,5,59.0,31.0,31.0,100.0,2018-05-01
ANA,ANA 1,2018,6,21.0,30.0,30.0,100.0,2018-06-01
ANA,ANA 1,2018,7,15.0,31.0,31.0,100.0,2018-07-01
ANA,ANA 1,2018,8,20.800000000000004,31.0,31.0,100.0,2018-08-01
ANA,ANA 1,2018,9,42.0,30.0,30.0,100.0,2018-09-01
ANA,ANA 1,2018,10,125.60000000000001,31.0,31.0,100.0,2018-10-01
ANA,ANA 1,2018,11,201.79999999999998,30.0,30.0,100.0,2018-11-01
ANA,ANA 1,2018,12,169.4,31.0,31.0,100.0,2018-12-01
ANA,ANA 1,2019,1,205.2,31.0,31.0,100.0,2019-01-01
ANA,ANA 1,2019,2,224.60000000000002,28.0,28.0,100.0,2019-02-01
ANA,ANA 1,2019,3,213.20000000000002,31.0,31.0,100.0,2019-03-01
ANA,ANA 1,2019,4,143.6,30.0,30.0,100.0,2019-04-01
ANA,ANA 1,2019,5,42.00000000000001,31.0,31.0,100.0,2019-05-01
ANA,ANA 1,2019,6,17.4,30.0,30.0,100.0,2019-06-01
ANA,ANA 1,2019,7,15.599999999999996,31.0,31.0,100.0,2019-07-01
ANA,ANA 1,2019,8,0.0,31.0,31.0,100.0,2019-08-01
ANA,ANA 1,2019,9,57.79999999999998,30.0,30.0,100.0,2019-09-01
ANA,ANA 1,2019,10,89.60000000000001,31.0,31.0,100.0,2019-10-01
ANA,ANA 1,2019,11,111.60000000000001,30.0,30.0,100.0,2019-11-01
ANA,ANA 1,2019,12,286.20000000000005,31.0,31.0,100.0,2019-12-01
ANA,ANA 1,2020,1,113.39999999999998,31.0,31.0,100.0,2020-01-01
ANA,ANA 1,2020,2,145.0,29.0,29.0,100.0,2020-02-01
ANA,ANA 1,2020,3,184.6,31.0,31.0,100.0,2020-03-01
ANA,ANA 1,2020,4,86.4,30.0,30.0,100.0,2020-04-01
ANA,ANA 1,2020,5,109.0,31.0,31.0,100.0,2020-05-01
ANA,ANA 1,2020,6,3.8,30.0,30.0,100.0,2020-06-01
ANA,ANA 1,2020,7,21.599999999999998,31.0,31.0,100.0,2020-07-01
ANA,ANA 1,2020,8,5.2,31.0,31.0,100.0,2020-08-01
ANA,ANA 1,2020,9,55.6,30.0,30.0,100.0,2020-09-01
ANA,ANA 1,2020,10,,31.0,22.0,70.97,2020-10-01
ANA,ANA 1,2020,11,,30.0,0.0,0.0,2020-11-01
ANA,ANA 1,2020,12,,31.0,0.0,0.0,2020-12-01
ANA,ANA 1,2021,1,,31.0,0.0,0.0,2021-01-01
ANA,ANA 1,2021,2,,28.0,0.0,0.0,2021-02-01
ANA,ANA 1,2021,3,,31.0,0.0,0.0,2021-03-01
ANA,ANA 1,2021,4,,30.0,0.0,0.0,2021-04-01
ANA,ANA 1,2021,5,,31.0,0.0,0.0,2021-05-01
ANA,ANA 1,2021,6,,30.0,0.0,0.0,2021-06-01
ANA,ANA 1,2021,7,,31.0,0.0,0.0,2021-07-01
ANA,ANA 1,2021,8,,31.0,0.0,0.0,2021-08-01
ANA,ANA 1,2021,9,,30.0,0.0,0.0,2021-09-01
ANA,ANA 1,2021,10,,31.0,0.0,0.0,2021-10-01
ANA,ANA 1,2021,11,,30.0,0.0,0.0,2021-11-01
ANA,ANA 1,2021,12,,31.0,0.0,0.0,2021-12-01
ANA,ANA 1,2022,1,,31.0,0.0,0.0,2022-01-01
ANA,ANA 1,2022,2,,28.0,0.0,0.0,2022-02-01
ANA,ANA 1,2022,3,,31.0,0.0,0.0,2022-03-01
ANA,ANA 1,2022,4,,30.0,0.0,0.0,2022-04-01
ANA,ANA 1,2022,5,,31.0,0.0,0.0,2022-05-01
ANA,ANA 1,2022,6,,30.0,0.0,0.0,2022-06-01
ANA,ANA 1,2022,7,,31.0,0.0,0.0,2022-07-01
ANA,ANA 1,2022,8,,31.0,0.0,0.0,2022-08-01
ANA,ANA 1,2022,9,,30.0,0.0,0.0,2022-09-01
ANA,ANA 1,2022,10,,31.0,0.0,0.0,2022-10-01
ANA,ANA 1,2022,11,,30.0,0.0,0.0,2022-11-01
ANA,ANA 1,2022,12,,31.0,0.0,0.0,2022-12-01
ANA,ANA 2,2012,1,,31.0,0.0,0.0,2012-01-01
ANA,ANA 2,2012,2,311.00000253200005,29.0,29.0,100.0,2012-02-01
ANA,ANA 2,2012,3,264.400003941,31.0,31.0,100.0,2012-03-01
ANA,ANA 2,2012,4,308.40000457499997,30.0,25.0,83.33,2012-04-01
ANA,ANA 2,2012,5,,31.0,0.0,0.0,2012-05-01
ANA,ANA 2,2012,6,,30.0,0.0,0.0,2012-06-01
ANA,ANA 2,2012,7,,31.0,1.0,3.23,2012-07-01
ANA,ANA 2,2012,8,6.800000101999999,31.0,31.0,100.0,2012-08-01
ANA,ANA 2,2012,9,,30.0,0.0,0.0,2012-09-01
ANA,ANA 2,2012,10,,31.0,0.0,0.0,2012-10-01
ANA,ANA 2,2012,11,157.00000177499996,30.0,26.0,86.67,2012-11-01
ANA,ANA 2,2012,12,293.600004355,31.0,31.0,100.0,2012-12-01
ANA,ANA 2,2013,1,278.600004132,31.0,31.0,100.0,2013-01-01
ANA,ANA 2,2013,2,265.80000395999997,28.0,28.0,100.0,2013-02-01
ANA,ANA 2,2013,3,423.60000629599995,31.0,31.0,100.0,2013-03-01
ANA,ANA 2,2013,4,212.400000033,30.0,30.0,100.0,2013-04-01
ANA,ANA 2,2013,5,129.8,31.0,31.0,100.0,2013-05-01
ANA,ANA 2,2013,6,37.0,30.0,30.0,100.0,2013-06-01
ANA,ANA 2,2013,7,40.8,31.0,31.0,100.0,2013-07-01
ANA,ANA 2,2013,8,46.6,31.0,31.0,100.0,2013-08-01
ANA,ANA 2,2013,9,63.199999999999996,30.0,30.0,100.0,2013-09-01
ANA,ANA 2,2013,10,190.99999999999997,31.0,31.0,100.0,2013-10-01
ANA,ANA 2,2013,11,190.40000000000003,30.0,30.0,100.0,2013-11-01
ANA,ANA 2,2013,12,254.20000000000002,31.0,31.0,100.0,2013-12-01
ANA,ANA 2,2014,1,282.0,31.0,31.0,100.0,2014-01-01
ANA,ANA 2,2014,2,149.09999999999997,28.0,28.0,100.0,2014-02-01
ANA,ANA 2,2014,3,329.59999999999997,31.0,31.0,100.0,2014-03-01
ANA,ANA 2,2014,4,232.6,30.0,30.0,100.0,2014-04-01
ANA,ANA 2,2014,5,123.60000000000001,31.0,31.0,100.0,2014-05-01
ANA,ANA 2,2014,6,39.2,30.0,30.0,100.0,2014-06-01
ANA,ANA 2,2014,7,46.4,31.0,31.0,100.0,2014-07-01
ANA,ANA 2,2014,8,22.8,31.0,31.0,100.0,2014-08-01
ANA,ANA 2,2014,9,134.2,30.0,30.0,100.0,2014-09-01
ANA,ANA 2,2014,10,204.39999999999995,31.0,31.0,100.0,2014-10-01
ANA,ANA 2,2014,11,178.2,30.0,30.0,100.0,2014-11-01
ANA,ANA 2,2014,12,290.6,31.0,31.0,100.0,2014-12-01
ANA,ANA 2,2015,1,279.6,31.0,31.0,100.0,2015-01-01
ANA,ANA 2,2015,2,247.79999999999998,28.0,28.0,100.0,2015-02-01
ANA,ANA 2,2015,3,282.0,31.0,31.0,100.0,2015-03-01
ANA,ANA 2,2015,4,191.6,30.0,30.0,100.0,2015-04-01
ANA,ANA 2,2015,5,161.79999999999998,31.0,31.0,100.0,2015-05-01
ANA,ANA 2,2015,6,22.0,30.0,30.0,100.0,2015-06-01
ANA,ANA 2,2015,7,10.8,31.0,31.0,100.0,2015-07-01
ANA,ANA 2,2015,8,16.6,31.0,31.0,100.0,2015-08-01
ANA,ANA 2,2015,9,39.0,30.0,30.0,100.0,2015-09-01
ANA,ANA 2,2015,10,131.8,31.0,31.0,100.0,2015-10-01
ANA,ANA 2,2015,11,230.39999999999998,30.0,30.0,100.0,2015-11-01
ANA,ANA 2,2015,12,,31.0,6.0,19.35,2015-12-01
ANA,ANA 2,2016,1,,31.0,11.0,35.48,2016-01-01
ANA,ANA 2,2016,2,276.5999999999997,29.0,29.0,100.0,2016-02-01
ANA,ANA 2,2016,3,209.19999999999982,31.0,31.0,100.0,2016-03-01
ANA,ANA 2,2016,4,157.3999999999999,30.0,30.0,100.0,2016-04-01
ANA,ANA 2,2016,5,50.6,31.0,31.0,100.0,2016-05-01
ANA,ANA 2,2016,6,4.800000000000001,30.0,30.0,100.0,2016-06-01
ANA,ANA 2,2016,7,0.0,31.0,31.0,100.0,2016-07-01
ANA,ANA 2,2016,8,4.400000000000001,31.0,31.0,100.0,2016-08-01
ANA,ANA 2,2016,9,39.4,30.0,30.0,100.0,2016-09-01
ANA,ANA 2,2016,10,151.39999999999995,31.0,31.0,100.0,2016-10-01
ANA,ANA 2,2016,11,51.2,30.0,30.0,100.0,2016-11-01
ANA,ANA 2,2016,12,198.39999999999986,31.0,31.0,100.0,2016-12-01
ANA,ANA 2,2017,1,307.9999999999997,31.0,31.0,100.0,2017-01-01
ANA,ANA 2,2017,2,264.79999999999995,28.0,28.0,100.0,2017-02-01
ANA,ANA 2,2017,3,369.39999999999947,31.0,31.0,100.0,2017-03-01
ANA,ANA 2,2017,4,208.9999999999998,30.0,30.0,100.0,2017-04-01
ANA,ANA 2,2017,5,130.99999999999994,31.0,31.0,100.0,2017-05-01
ANA,ANA 2,2017,6,18.000000000000007,30.0,30.0,100.0,2017-06-01
ANA,ANA 2,2017,7,22.799999999999994,31.0,31.0,100.0,2017-07-01
ANA,ANA 2,2017,8,26.000000000000004,31.0,31.0,100.0,2017-08-01
ANA,ANA 2,2017,9,116.59999999999988,30.0,30.0,100.0,2017-09-01
ANA,ANA 2,2017,10,107.59999999999995,31.0,31.0,100.0,2017-10-01
ANA,ANA 2,2017,11,73.0,30.0,30.0,100.0,2017-11-01
ANA,ANA 2,2017,12,188.39999999999992,31.0,31.0,100.0,2017-12-01
ANA,ANA 2,2018,1,281.99999999999955,31.0,31.0,100.0,2018-01-01
ANA,ANA 2,2018,2,172.59999999999982,28.0,28.0,100.0,2018-02-01
ANA,ANA 2,2018,3,337.9999999999997,31.0,31.0,100.0,2018-03-01
ANA,ANA 2,2018,4,196.59999999999982,30.0,30.0,100.0,2018-04-01
ANA,ANA 2,2018,5,113.19999999999986,31.0,31.0,100.0,2018-05-01
ANA,ANA 2,2018,6,49.59999999999993,30.0,30.0,100.0,2018-06-01
ANA,ANA 2,2018,7,35.400000000000006,31.0,31.0,100.0,2018-07-01
ANA,ANA 2,2018,8,32.00000000000001,31.0,31.0,100.0,2018-08-01
ANA,ANA 2,2018,9,56.0,30.0,30.0,100.0,2018-09-01
ANA,ANA 2,2018,10,204.39999999999995,31.0,31.0,100.0,2018-10-01
ANA,ANA 2,2018,11,148.2,30.0,30.0,100.0,2018-11-01
ANA,ANA 2,2018,12,219.8,31.0,31.0,100.0,2018-12-01
ANA,ANA 2,2019,1,,31.0,17.0,54.84,2019-01-01
ANA,ANA 2,2019,2,,28.0,0.0,0.0,2019-02-01
ANA,ANA 2,2019,3,,31.0,13.0,41.94,2019-03-01
ANA,ANA 2,2019,4,118.80000000000001,30.0,30.0,100.0,2019-04-01
ANA,ANA 2,2019,5,90.4,31.0,31.0,100.0,2019-05-01
ANA,ANA 2,2019,6,12.6,30.0,30.0,100.0,2019-06-01
ANA,ANA 2,2019,7,22.400000000000002,31.0,31.0,100.0,2019-07-01
ANA,ANA 2,2019,8,7.6000000000000005,31.0,31.0,100.0,2019-08-01
ANA,ANA 2,2019,9,55.39999999999999,30.0,30.0,100.0,2019-09-01
ANA,ANA 2,2019,10,118.20000000000002,31.0,31.0,100.0,2019-10-01
ANA,ANA 2,2019,11,129.60000000000002,30.0,30.0,100.0,2019-11-01
ANA,ANA 2,2019,12,225.79999999999998,31.0,31.0,100.0,2019-12-01
ANA,ANA 2,2020,1,168.79999999999998,31.0,31.0,100.0,2020-01-01
ANA,ANA 2,2020,2,198.40000000000003,29.0,29.0,100.0,2020-02-01
ANA,ANA 2,2020,3,182.99999999999997,31.0,31.0,100.0,2020-03-01
ANA,ANA 2,2020,4,116.4,30.0,30.0,100.0,2020-04-01
ANA,ANA 2,2020,5,164.8,31.0,31.0,100.0,2020-05-01
ANA,ANA 2,2020,6,9.8,30.0,30.0,100.0,2020-06-01
ANA,ANA 2,2020,7,13.200000000000001,31.0,31.0,100.0,2020-07-01
ANA,ANA 2,2020,8,0.6000000000000001,31.0,31.0,100.0,2020-08-01
ANA,ANA 2,2020,9,66.39999999999999,30.0,30.0,100.0,2020-09-01
ANA,ANA 2,2020,10,88.20000000000002,31.0,31.0,100.0,2020-10-01
ANA,ANA 2,2020,11,93.80000000000001,30.0,30.0,100.0,2020-11-01
ANA,ANA 2,2020,12,190.40000000000003,31.0,31.0,100.0,2020-12-01
ANA,ANA 2,2021,1,271.2,31.0,31.0,100.0,2021-01-01
ANA,ANA 2,2021,2,139.60000000000002,28.0,28.0,100.0,2021-02-01
ANA,ANA 2,2021,3,270.0,31.0,31.0,100.0,2021-03-01
ANA,ANA 2,2021,4,187.39999999999998,30.0,30.0,100.0,2021-04-01
ANA,ANA 2,2021,5,82.39999999999999,31.0,31.0,100.0,2021-05-01
ANA,ANA 2,2021,6,76.4,30.0,30.0,100.0,2021-06-01
ANA,ANA 2,2021,7,22.800000000000004,31.0,31.0,100.0,2021-07-01
ANA,ANA 2,2021,8,34.6,31.0,31.0,100.0,2021-08-01
ANA,ANA 2,2021,9,65.6,30.0,30.0,100.0,2021-09-01
ANA,ANA 2,2021,10,169.39999999999998,31.0,31.0,100.0,2021-10-01
ANA,ANA 2,2021,11,183.0,30.0,30.0,100.0,2021-11-01
ANA,ANA 2,2021,12,176.60000000000002,31.0,31.0,100.0,2021-12-01
