UH,Estacion,anio,mes,Prec_mensual,Dias_totales,Dias_validos,Porcentaje_validos,fecha_mensual
ANA,ANA 2,2022,1,158.39999999999998,31.0,31.0,100.0,2022-01-01
ANA,ANA 2,2022,2,271.40000000000003,28.0,28.0,100.0,2022-02-01
ANA,ANA 2,2022,3,,31.0,18.0,58.06,2022-03-01
ANA,ANA 2,2022,4,,30.0,0.0,0.0,2022-04-01
ANA,ANA 2,2022,5,,31.0,0.0,0.0,2022-05-01
ANA,ANA 2,2022,6,,30.0,16.0,53.33,2022-06-01
ANA,ANA 2,2022,7,22.0,31.0,31.0,100.0,2022-07-01
ANA,ANA 2,2022,8,43.0,31.0,31.0,100.0,2022-08-01
ANA,ANA 2,2022,9,87.0,30.0,30.0,100.0,2022-09-01
ANA,ANA 2,2022,10,81.6,31.0,31.0,100.0,2022-10-01
ANA,ANA 2,2022,11,79.0,30.0,30.0,100.0,2022-11-01
ANA,ANA 2,2022,12,133.8,31.0,31.0,100.0,2022-12-01
Matoc,Matoc_1,2012,1,197.99999999999997,31.0,31.0,100.0,2012-01-01
Matoc,Matoc_1,2012,2,202.8,29.0,29.0,100.0,2012-02-01
Matoc,Matoc_1,2012,3,123.60000000000001,31.0,31.0,100.0,2012-03-01
Matoc,Matoc_1,2012,4,,30.0,16.0,53.33,2012-04-01
Matoc,Matoc_1,2012,5,,31.0,16.0,51.61,2012-05-01
Matoc,Matoc_1,2012,6,6.2,30.0,30.0,100.0,2012-06-01
Matoc,Matoc_1,2012,7,0.8,31.0,31.0,100.0,2012-07-01
Matoc,Matoc_1,2012,8,3.4000000000000004,31.0,30.0,96.77,2012-08-01
Matoc,Matoc_1,2012,9,28.8,30.0,26.0,86.67,2012-09-01
Matoc,Matoc_1,2012,10,82.60000000000002,31.0,31.0,100.0,2012-10-01
Matoc,Matoc_1,2012,11,213.60000000000002,30.0,30.0,100.0,2012-11-01
Matoc,Matoc_1,2012,12,193.60000000000002,31.0,30.0,96.77,2012-12-01
Matoc,Matoc_1,2013,1,151.8,31.0,31.0,100.0,2013-01-01
Matoc,Matoc_1,2013,2,174.00000000000003,28.0,28.0,100.0,2013-02-01
Matoc,Matoc_1,2013,3,,31.0,5.0,16.13,2013-03-01
Matoc,Matoc_1,2013,4,,30.0,0.0,0.0,2013-04-01
Matoc,Matoc_1,2013,5,,31.0,0.0,0.0,2013-05-01
Matoc,Matoc_1,2013,6,,30.0,23.0,76.67,2013-06-01
Matoc,Matoc_1,2013,7,3.2,31.0,30.0,96.77,2013-07-01
Matoc,Matoc_1,2013,8,18.200000000000003,31.0,29.0,93.55,2013-08-01
Matoc,Matoc_1,2013,9,18.799999999999997,30.0,27.0,90.0,2013-09-01
Matoc,Matoc_1,2013,10,146.20000000000005,31.0,31.0,100.0,2013-10-01
Matoc,Matoc_1,2013,11,112.60000000000002,30.0,29.0,96.67,2013-11-01
Matoc,Matoc_1,2013,12,175.40000000000003,31.0,30.0,96.77,2013-12-01
Matoc,Matoc_1,2014,1,,31.0,10.0,32.26,2014-01-01
Matoc,Matoc_1,2014,2,,28.0,0.0,0.0,2014-02-01
Matoc,Matoc_1,2014,3,,31.0,0.0,0.0,2014-03-01
Matoc,Matoc_1,2014,4,,30.0,6.0,20.0,2014-04-01
Matoc,Matoc_1,2014,5,71.20000000000002,31.0,31.0,100.0,2014-05-01
Matoc,Matoc_1,2014,6,9.600000000000001,30.0,30.0,100.0,2014-06-01
Matoc,Matoc_1,2014,7,17.4,31.0,31.0,100.0,2014-07-01
Matoc,Matoc_1,2014,8,10.400000000000002,31.0,31.0,100.0,2014-08-01
Matoc,Matoc_1,2014,9,,30.0,5.0,16.67,2014-09-01
Matoc,Matoc_1,2014,10,,31.0,0.0,0.0,2014-10-01
Matoc,Matoc_1,2014,11,,30.0,0.0,0.0,2014-11-01
Matoc,Matoc_1,2014,12,,31.0,0.0,0.0,2014-12-01
Matoc,Matoc_1,2015,1,,31.0,0.0,0.0,2015-01-01
Matoc,Matoc_1,2015,2,,28.0,0.0,0.0,2015-02-01
Matoc,Matoc_1,2015,3,,31.0,0.0,0.0,2015-03-01
Matoc,Matoc_1,2015,4,,30.0,0.0,0.0,2015-04-01
Matoc,Matoc_1,2015,5,,31.0,0.0,0.0,2015-05-01
Matoc,Matoc_1,2015,6,,30.0,0.0,0.0,2015-06-01
Matoc,Matoc_1,2015,7,,31.0,0.0,0.0,2015-07-01
Matoc,Matoc_1,2015,8,,31.0,0.0,0.0,2015-08-01
Matoc,Matoc_1,2015,9,,30.0,0.0,0.0,2015-09-01
Matoc,Matoc_1,2015,10,,31.0,0.0,0.0,2015-10-01
Matoc,Matoc_1,2015,11,,30.0,0.0,0.0,2015-11-01
Matoc,Matoc_1,2015,12,,31.0,0.0,0.0,2015-12-01
Matoc,Matoc_1,2016,1,,31.0,0.0,0.0,2016-01-01
Matoc,Matoc_1,2016,2,,29.0,0.0,0.0,2016-02-01
Matoc,Matoc_1,2016,3,,31.0,4.0,12.9,2016-03-01
Matoc,Matoc_1,2016,4,,30.0,0.0,0.0,2016-04-01
Matoc,Matoc_1,2016,5,,31.0,0.0,0.0,2016-05-01
Matoc,Matoc_1,2016,6,,30.0,3.0,10.0,2016-06-01
Matoc,Matoc_1,2016,7,,31.0,0.0,0.0,2016-07-01
Matoc,Matoc_1,2016,8,,31.0,0.0,0.0,2016-08-01
Matoc,Matoc_1,2016,9,,30.0,0.0,0.0,2016-09-01
Matoc,Matoc_1,2016,10,,31.0,0.0,0.0,2016-10-01
Matoc,Matoc_1,2016,11,,30.0,10.0,33.33,2016-11-01
Matoc,Matoc_1,2016,12,239.40000000000003,31.0,31.0,100.0,2016-12-01
Matoc,Matoc_1,2017,1,190.0,31.0,29.0,93.55,2017-01-01
Matoc,Matoc_1,2017,2,261.00000000000006,28.0,27.0,96.43,2017-02-01
Matoc,Matoc_1,2017,3,,31.0,6.0,19.35,2017-03-01
Matoc,Matoc_1,2017,4,,30.0,0.0,0.0,2017-04-01
Matoc,Matoc_1,2017,5,,31.0,0.0,0.0,2017-05-01
Matoc,Matoc_1,2017,6,,30.0,0.0,0.0,2017-06-01
Matoc,Matoc_1,2017,7,,31.0,0.0,0.0,2017-07-01
Matoc,Matoc_1,2017,8,,31.0,7.0,22.58,2017-08-01
Matoc,Matoc_1,2017,9,,30.0,18.0,60.0,2017-09-01
Matoc,Matoc_1,2017,10,81.6,31.0,30.0,96.77,2017-10-01
Matoc,Matoc_1,2017,11,,30.0,14.0,46.67,2017-11-01
Matoc,Matoc_1,2017,12,,31.0,0.0,0.0,2017-12-01
Matoc,Matoc_1,2018,1,,31.0,0.0,0.0,2018-01-01
Matoc,Matoc_1,2018,2,92.80000000000001,28.0,26.0,92.86,2018-02-01
Matoc,Matoc_1,2018,3,286.00000000000006,31.0,31.0,100.0,2018-03-01
Matoc,Matoc_1,2018,4,121.80000000000001,30.0,29.0,96.67,2018-04-01
Matoc,Matoc_1,2018,5,70.60000000000001,31.0,28.0,90.32,2018-05-01
Matoc,Matoc_1,2018,6,4.0,30.0,29.0,96.67,2018-06-01
Matoc,Matoc_1,2018,7,7.800000000000001,31.0,31.0,100.0,2018-07-01
Matoc,Matoc_1,2018,8,7.6000000000000005,31.0,31.0,100.0,2018-08-01
Matoc,Matoc_1,2018,9,21.799999999999997,30.0,30.0,100.0,2018-09-01
Matoc,Matoc_1,2018,10,,31.0,1.0,3.23,2018-10-01
Matoc,Matoc_1,2018,11,,30.0,0.0,0.0,2018-11-01
Matoc,Matoc_1,2018,12,,31.0,0.0,0.0,2018-12-01
Matoc,Matoc_1,2019,1,,31.0,0.0,0.0,2019-01-01
Matoc,Matoc_1,2019,2,,28.0,0.0,0.0,2019-02-01
Matoc,Matoc_1,2019,3,,31.0,0.0,0.0,2019-03-01
Matoc,Matoc_1,2019,4,,30.0,0.0,0.0,2019-04-01
Matoc,Matoc_1,2019,5,,31.0,0.0,0.0,2019-05-01
Matoc,Matoc_1,2019,6,,30.0,0.0,0.0,2019-06-01
Matoc,Matoc_1,2019,7,,31.0,0.0,0.0,2019-07-01
Matoc,Matoc_1,2019,8,,31.0,0.0,0.0,2019-08-01
Matoc,Matoc_1,2019,9,,30.0,0.0,0.0,2019-09-01
Matoc,Matoc_1,2019,10,,31.0,0.0,0.0,2019-10-01
Matoc,Matoc_1,2019,11,,30.0,0.0,0.0,2019-11-01
Matoc,Matoc_1,2019,12,,31.0,0.0,0.0,2019-12-01
Matoc,Matoc_1,2020,1,,31.0,0.0,0.0,2020-01-01
Matoc,Matoc_1,2020,2,,29.0,0.0,0.0,2020-02-01
Matoc,Matoc_1,2020,3,,31.0,0.0,0.0,2020-03-01
Matoc,Matoc_1,2020,4,,30.0,0.0,0.0,2020-04-01
Matoc,Matoc_1,2020,5,,31.0,0.0,0.0,2020-05-01
Matoc,Matoc_1,2020,6,,30.0,0.0,0.0,2020-06-01
Matoc,Matoc_1,2020,7,,31.0,0.0,0.0,2020-07-01
Matoc,Matoc_1,2020,8,,31.0,0.0,0.0,2020-08-01
Matoc,Matoc_1,2020,9,,30.0,0.0,0.0,2020-09-01
Matoc,Matoc_1,2020,10,,31.0,0.0,0.0,2020-10-01
Matoc,Matoc_1,2020,11,,30.0,0.0,0.0,2020-11-01
Matoc,Matoc_1,2020,12,,31.0,0.0,0.0,2020-12-01
Matoc,Matoc_1,2021,1,,31.0,0.0,0.0,2021-01-01
Matoc,Matoc_1,2021,2,,28.0,0.0,0.0,2021-02-01
Matoc,Matoc_1,2021,3,,31.0,0.0,0.0,2021-03-01
Matoc,Matoc_1,2021,4,,30.0,0.0,0.0,2021-04-01
Matoc,Matoc_1,2021,5,,31.0,0.0,0.0,2021-05-01
Matoc,Matoc_1,2021,6,,30.0,0.0,0.0,2021-06-01
Matoc,Matoc_1,2021,7,,31.0,0.0,0.0,2021-07-01
Matoc,Matoc_1,2021,8,,31.0,0.0,0.0,2021-08-01
Matoc,Matoc_1,2021,9,,30.0,0.0,0.0,2021-09-01
Matoc,Matoc_1,2021,10,,31.0,0.0,0.0,2021-10-01
Matoc,Matoc_1,2021,11,,30.0,0.0,0.0,2021-11-01
Matoc,Matoc_1,2021,12,,31.0,0.0,0.0,2021-12-01
Matoc,Matoc_1,2022,1,,31.0,0.0,0.0,2022-01-01
Matoc,Matoc_1,2022,2,,28.0,0.0,0.0,2022-02-01
Matoc,Matoc_1,2022,3,,31.0,0.0,0.0,2022-03-01
Matoc,Matoc_1,2022,4,,30.0,0.0,0.0,2022-04-01
Matoc,Matoc_1,2022,5,,31.0,0.0,0.0,2022-05-01
Matoc,Matoc_1,2022,6,37.00000000000001,30.0,28.0,93.33,2022-06-01
Matoc,Matoc_1,2022,7,12.8,31.0,31.0,100.0,2022-07-01
Matoc,Matoc_1,2022,8,25.4,31.0,31.0,100.0,2022-08-01
Matoc,Matoc_1,2022,9,84.0,30.0,30.0,100.0,2022-09-01
Matoc,Matoc_1,2022,10,85.39999999999999,31.0,31.0,100.0,2022-10-01
Matoc,Matoc_1,2022,11,,30.0,19.0,63.33,2022-11-01
Matoc,Matoc_1,2022,12,,31.0,1.0,3.23,2022-12-01
Matoc,Matoc_2,2012,1,189.59999999999997,31.0,31.0,100.0,2012-01-01
Matoc,Matoc_2,2012,2,232.00000000000003,29.0,29.0,100.0,2012-02-01
Matoc,Matoc_2,2012,3,126.80000000000001,31.0,31.0,100.0,2012-03-01
Matoc,Matoc_2,2012,4,,30.0,16.0,53.33,2012-04-01
Matoc,Matoc_2,2012,5,,31.0,16.0,51.61,2012-05-01
Matoc,Matoc_2,2012,6,4.2,30.0,30.0,100.0,2012-06-01
Matoc,Matoc_2,2012,7,1.4,31.0,31.0,100.0,2012-07-01
Matoc,Matoc_2,2012,8,3.8000000000000003,31.0,31.0,100.0,2012-08-01
Matoc,Matoc_2,2012,9,45.199999999999996,30.0,29.0,96.67,2012-09-01
Matoc,Matoc_2,2012,10,70.0,31.0,31.0,100.0,2012-10-01
Matoc,Matoc_2,2012,11,174.6,30.0,30.0,100.0,2012-11-01
Matoc,Matoc_2,2012,12,175.4,31.0,31.0,100.0,2012-12-01
Matoc,Matoc_2,2013,1,121.00000000000001,31.0,31.0,100.0,2013-01-01
Matoc,Matoc_2,2013,2,156.6,28.0,28.0,100.0,2013-02-01
Matoc,Matoc_2,2013,3,309.4,31.0,31.0,100.0,2013-03-01
Matoc,Matoc_2,2013,4,128.79999999999995,30.0,30.0,100.0,2013-04-01
Matoc,Matoc_2,2013,5,44.600000000000016,31.0,31.0,100.0,2013-05-01
Matoc,Matoc_2,2013,6,4.6000000000000005,30.0,30.0,100.0,2013-06-01
Matoc,Matoc_2,2013,7,5.0,31.0,31.0,100.0,2013-07-01
Matoc,Matoc_2,2013,8,9.4,31.0,29.0,93.55,2013-08-01
Matoc,Matoc_2,2013,9,17.0,30.0,28.0,93.33,2013-09-01
Matoc,Matoc_2,2013,10,127.2,31.0,31.0,100.0,2013-10-01
Matoc,Matoc_2,2013,11,87.0,30.0,30.0,100.0,2013-11-01
Matoc,Matoc_2,2013,12,102.60000000000002,31.0,31.0,100.0,2013-12-01
Matoc,Matoc_2,2014,1,,31.0,11.0,35.48,2014-01-01
Matoc,Matoc_2,2014,2,,28.0,0.0,0.0,2014-02-01
Matoc,Matoc_2,2014,3,,31.0,0.0,0.0,2014-03-01
Matoc,Matoc_2,2014,4,,30.0,0.0,0.0,2014-04-01
Matoc,Matoc_2,2014,5,,31.0,0.0,0.0,2014-05-01
Matoc,Matoc_2,2014,6,,30.0,0.0,0.0,2014-06-01
Matoc,Matoc_2,2014,7,,31.0,0.0,0.0,2014-07-01
Matoc,Matoc_2,2014,8,,31.0,0.0,0.0,2014-08-01
Matoc,Matoc_2,2014,9,,30.0,0.0,0.0,2014-09-01
Matoc,Matoc_2,2014,10,,31.0,0.0,0.0,2014-10-01
Matoc,Matoc_2,2014,11,,30.0,0.0,0.0,2014-11-01
Matoc,Matoc_2,2014,12,,31.0,0.0,0.0,2014-12-01
Matoc,Matoc_2,2015,1,,31.0,0.0,0.0,2015-01-01
Matoc,Matoc_2,2015,2,,28.0,0.0,0.0,2015-02-01
Matoc,Matoc_2,2015,3,,31.0,0.0,0.0,2015-03-01
Matoc,Matoc_2,2015,4,,30.0,0.0,0.0,2015-04-01
Matoc,Matoc_2,2015,5,,31.0,0.0,0.0,2015-05-01
Matoc,Matoc_2,2015,6,,30.0,0.0,0.0,2015-06-01
Matoc,Matoc_2,2015,7,,31.0,0.0,0.0,2015-07-01
Matoc,Matoc_2,2015,8,,31.0,0.0,0.0,2015-08-01
Matoc,Matoc_2,2015,9,,30.0,0.0,0.0,2015-09-01
Matoc,Matoc_2,2015,10,,31.0,0.0,0.0,2015-10-01
Matoc,Matoc_2,2015,11,,30.0,0.0,0.0,2015-11-01
Matoc,Matoc_2,2015,12,,31.0,0.0,0.0,2015-12-01
Matoc,Matoc_2,2016,1,,31.0,0.0,0.0,2016-01-01
Matoc,Matoc_2,2016,2,,29.0,0.0,0.0,2016-02-01
Matoc,Matoc_2,2016,3,,31.0,0.0,0.0,2016-03-01
Matoc,Matoc_2,2016,4,,30.0,0.0,0.0,2016-04-01
Matoc,Matoc_2,2016,5,,31.0,0.0,0.0,2016-05-01
Matoc,Matoc_2,2016,6,,30.0,4.0,13.33,2016-06-01
Matoc,Matoc_2,2016,7,,31.0,0.0,0.0,2016-07-01
Matoc,Matoc_2,2016,8,,31.0,0.0,0.0,2016-08-01
Matoc,Matoc_2,2016,9,,30.0,0.0,0.0,2016-09-01
Matoc,Matoc_2,2016,10,,31.0,0.0,0.0,2016-10-01
Matoc,Matoc_2,2016,11,,30.0,0.0,0.0,2016-11-01
Matoc,Matoc_2,2016,12,,31.0,17.0,54.84,2016-12-01
Matoc,Matoc_2,2017,1,173.39999999999992,31.0,31.0,100.0,2017-01-01
Matoc,Matoc_2,2017,2,203.4,28.0,28.0,100.0,2017-02-01
Matoc,Matoc_2,2017,3,,31.0,6.0,19.35,2017-03-01
Matoc,Matoc_2,2017,4,,30.0,0.0,0.0,2017-04-01
Matoc,Matoc_2,2017,5,,31.0,0.0,0.0,2017-05-01
Matoc,Matoc_2,2017,6,,30.0,0.0,0.0,2017-06-01
Matoc,Matoc_2,2017,7,,31.0,0.0,0.0,2017-07-01
Matoc,Matoc_2,2017,8,,31.0,7.0,22.58,2017-08-01
Matoc,Matoc_2,2017,9,60.40000000000001,30.0,29.0,96.67,2017-09-01
Matoc,Matoc_2,2017,10,85.60000000000001,31.0,30.0,96.77,2017-10-01
Matoc,Matoc_2,2017,11,,30.0,14.0,46.67,2017-11-01
Matoc,Matoc_2,2017,12,,31.0,0.0,0.0,2017-12-01
Matoc,Matoc_2,2018,1,,31.0,0.0,0.0,2018-01-01
Matoc,Matoc_2,2018,2,103.4,28.0,27.0,96.43,2018-02-01
Matoc,Matoc_2,2018,3,190.4,31.0,30.0,96.77,2018-03-01
Matoc,Matoc_2,2018,4,,30.0,20.0,66.67,2018-04-01
Matoc,Matoc_2,2018,5,,31.0,15.0,48.39,2018-05-01
Matoc,Matoc_2,2018,6,4.4,30.0,29.0,96.67,2018-06-01
Matoc,Matoc_2,2018,7,2.0,31.0,30.0,96.77,2018-07-01
Matoc,Matoc_2,2018,8,5.2,31.0,31.0,100.0,2018-08-01
Matoc,Matoc_2,2018,9,10.0,30.0,26.0,86.67,2018-09-01
Matoc,Matoc_2,2018,10,,31.0,0.0,0.0,2018-10-01
Matoc,Matoc_2,2018,11,,30.0,0.0,0.0,2018-11-01
Matoc,Matoc_2,2018,12,,31.0,0.0,0.0,2018-12-01
Matoc,Matoc_2,2019,1,,31.0,0.0,0.0,2019-01-01
Matoc,Matoc_2,2019,2,,28.0,0.0,0.0,2019-02-01
Matoc,Matoc_2,2019,3,,31.0,0.0,0.0,2019-03-01
Matoc,Matoc_2,2019,4,,30.0,0.0,0.0,2019-04-01
Matoc,Matoc_2,2019,5,,31.0,0.0,0.0,2019-05-01
Matoc,Matoc_2,2019,6,,30.0,0.0,0.0,2019-06-01
Matoc,Matoc_2,2019,7,,31.0,0.0,0.0,2019-07-01
Matoc,Matoc_2,2019,8,,31.0,0.0,0.0,2019-08-01
Matoc,Matoc_2,2019,9,,30.0,0.0,0.0,2019-09-01
Matoc,Matoc_2,2019,10,,31.0,0.0,0.0,2019-10-01
Matoc,Matoc_2,2019,11,,30.0,0.0,0.0,2019-11-01
Matoc,Matoc_2,2019,12,,31.0,0.0,0.0,2019-12-01
Matoc,Matoc_2,2020,1,,31.0,0.0,0.0,2020-01-01
Matoc,Matoc_2,2020,2,,29.0,0.0,0.0,2020-02-01
Matoc,Matoc_2,2020,3,,31.0,0.0,0.0,2020-03-01
Matoc,Matoc_2,2020,4,,30.0,0.0,0.0,2020-04-01
Matoc,Matoc_2,2020,5,,31.0,0.0,0.0,2020-05-01
Matoc,Matoc_2,2020,6,,30.0,0.0,0.0,2020-06-01
Matoc,Matoc_2,2020,7,,31.0,0.0,0.0,2020-07-01
Matoc,Matoc_2,2020,8,,31.0,0.0,0.0,2020-08-01
Matoc,Matoc_2,2020,9,,30.0,0.0,0.0,2020-09-01
Matoc,Matoc_2,2020,10,,31.0,0.0,0.0,2020-10-01
Matoc,Matoc_2,2020,11,,30.0,0.0,0.0,2020-11-01
Matoc,Matoc_2,2020,12,,31.0,0.0,0.0,2020-12-01
Matoc,Matoc_2,2021,1,,31.0,0.0,0.0,2021-01-01
Matoc,Matoc_2,2021,2,,28.0,0.0,0.0,2021-02-01
Matoc,Matoc_2,2021,3,,31.0,0.0,0.0,2021-03-01
Matoc,Matoc_2,2021,4,,30.0,0.0,0.0,2021-04-01
Matoc,Matoc_2,2021,5,,31.0,0.0,0.0,2021-05-01
Matoc,Matoc_2,2021,6,,30.0,0.0,0.0,2021-06-01
Matoc,Matoc_2,2021,7,,31.0,0.0,0.0,2021-07-01
Matoc,Matoc_2,2021,8,,31.0,0.0,0.0,2021-08-01
Matoc,Matoc_2,2021,9,,30.0,0.0,0.0,2021-09-01
Matoc,Matoc_2,2021,10,,31.0,0.0,0.0,2021-10-01
Matoc,Matoc_2,2021,11,,30.0,0.0,0.0,2021-11-01
Matoc,Matoc_2,2021,12,,31.0,0.0,0.0,2021-12-01
Matoc,Matoc_2,2022,1,,31.0,0.0,0.0,2022-01-01
Matoc,Matoc_2,2022,2,,28.0,0.0,0.0,2022-02-01
Matoc,Matoc_2,2022,3,,31.0,0.0,0.0,2022-03-01
Matoc,Matoc_2,2022,4,,30.0,0.0,0.0,2022-04-01
Matoc,Matoc_2,2022,5,,31.0,0.0,0.0,2022-05-01
